frame,time_s,X_m,Y_m,Z_m,distance_m,radius_px,cx_px,cy_px,source
235,7.8000,,,,,,,,none
236,7.8333,,,,,,,,none
237,7.8667,,,,,,,,none
238,7.9000,,,,,,,,none
239,7.9333,,,,,,,,none
240,7.9667,,,,,,,,none
241,8.0000,,,,,,,,none
242,8.0333,,,,,,,,none
243,8.0667,,,,,,,,none
244,8.1000,,,,,,,,none
245,8.1333,,,,,,,,none
246,8.1667,,,,,,,,none
247,8.2000,,,,,,,,none
248,8.2333,,,,,,,,none
249,8.2667,,,,,,,,none
250,8.3000,,,,,,,,none
251,8.3333,,,,,,,,none
252,8.3667,,,,,,,,none
253,8.4000,,,,,,,,none
254,8.4333,,,,,,,,none
255,8.4667,,,,,,,,none
256,8.5000,,,,,,,,none
257,8.5333,,,,,,,,none
258,8.5667,,,,,,,,none
259,8.6000,,,,,,,,none
260,8.6333,,,,,,,,none
261,8.6667,,,,,,,,none
262,8.7000,,,,,,,,none
263,8.7333,,,,,,,,none
264,8.7667,,,,,,,,none
265,8.8000,,,,,,,,none
266,8.8333,,,,,,,,none
267,8.8667,,,,,,,,none
268,8.9000,,,,,,,,none
269,8.9333,,,,,,,,none
270,8.9667,,,,,,,,none
271,9.0000,,,,,,,,none
272,9.0333,,,,,,,,none
273,9.0667,,,,,,,,none
274,9.1000,,,,,,,,none
275,9.1333,,,,,,,,none
276,9.1667,,,,,,,,none
277,9.2000,,,,,,,,none
278,9.2333,,,,,,,,none
279,9.2667,,,,,,,,none
280,9.3000,,,,,,,,none
281,9.3333,,,,,,,,none
282,9.3667,,,,,,,,none
283,9.4000,,,,,,,,none
284,9.4333,,,,,,,,none
285,9.4667,,,,,,,,none
286,9.5000,,,,,,,,none
287,9.5333,,,,,,,,none
288,9.5667,,,,,,,,none
289,9.6000,,,,,,,,none
290,9.6333,,,,,,,,none
291,9.6667,,,,,,,,none
292,9.7000,,,,,,,,none
293,9.7333,,,,,,,,none
294,9.7667,,,,,,,,none
295,9.8000,,,,,,,,none
296,9.8333,,,,,,,,none
297,9.8667,,,,,,,,none
298,9.9000,,,,,,,,none
299,9.9333,,,,,,,,none
300,9.9667,,,,,,,,none
301,10.0000,,,,,,,,none
302,10.0333,,,,,,,,none
303,10.0667,,,,,,,,none
304,10.1000,,,,,,,,none
305,10.1333,,,,,,,,none
306,10.1667,,,,,,,,none
307,10.2000,,,,,,,,none
308,10.2333,,,,,,,,none
309,10.2667,,,,,,,,none
310,10.3000,,,,,,,,none
311,10.3333,,,,,,,,none
312,10.3667,,,,,,,,none
313,10.4000,,,,,,,,none
314,10.4333,,,,,,,,none
315,10.4667,,,,,,,,none
316,10.5000,,,,,,,,none
317,10.5333,,,,,,,,none
318,10.5667,,,,,,,,none
319,10.6000,,,,,,,,none
320,10.6333,,,,,,,,none
321,10.6667,,,,,,,,none
322,10.7000,,,,,,,,none
323,10.7333,,,,,,,,none
324,10.7667,,,,,,,,none
325,10.8000,,,,,,,,none
326,10.8333,,,,,,,,none
327,10.8667,,,,,,,,none
328,10.9000,,,,,,,,none
329,10.9333,,,,,,,,none
330,10.9667,,,,,,,,none
331,11.0000,,,,,,,,none
332,11.0333,,,,,,,,none
333,11.0667,,,,,,,,none
334,11.1000,,,,,,,,none
335,11.1333,,,,,,,,none
336,11.1667,,,,,,,,none
337,11.2000,,,,,,,,none
338,11.2333,,,,,,,,none
339,11.2667,,,,,,,,none
340,11.3000,,,,,,,,none
341,11.3333,,,,,,,,none
342,11.3667,,,,,,,,none
343,11.4000,,,,,,,,none
344,11.4333,,,,,,,,none
345,11.4667,,,,,,,,none
346,11.5000,,,,,,,,none
347,11.5333,,,,,,,,none
348,11.5667,,,,,,,,none
349,11.6000,,,,,,,,none
350,11.6333,,,,,,,,none
351,11.6667,,,,,,,,none
352,11.7000,,,,,,,,none
353,11.7333,,,,,,,,none
354,11.7667,,,,,,,,none
355,11.8000,,,,,,,,none
356,11.8333,,,,,,,,none
357,11.8667,,,,,,,,none
358,11.9000,,,,,,,,none
359,11.9333,,,,,,,,none
360,11.9667,,,,,,,,none
361,12.0000,,,,,,,,none
362,12.0333,,,,,,,,none
363,12.0667,,,,,,,,none
364,12.1000,,,,,,,,none
365,12.1333,,,,,,,,none
366,12.1667,,,,,,,,none
367,12.2000,,,,,,,,none
368,12.2333,,,,,,,,none
369,12.2667,,,,,,,,none
370,12.3000,,,,,,,,none
371,12.3333,,,,,,,,none
372,12.3667,,,,,,,,none
373,12.4000,,,,,,,,none
374,12.4333,,,,,,,,none
375,12.4667,,,,,,,,none
376,12.5000,,,,,,,,none
377,12.5333,,,,,,,,none
378,12.5667,,,,,,,,none
379,12.6000,,,,,,,,none
380,12.6333,,,,,,,,none
381,12.6667,-0.7175,0.8487,2.2954,2.5503,44.6250,348.9119,704.3101,yolo
382,12.7000,-0.6358,0.7715,2.1231,2.3467,48.2469,361.1515,698.4018,yolo
383,12.7333,-0.6189,0.7716,2.1626,2.3780,47.3663,373.5183,692.2658,yolo
384,12.7667,-0.5872,0.7731,2.2220,2.4248,46.0988,393.9293,683.9827,yolo
385,12.8000,-0.5592,0.7620,2.2641,2.4534,45.2428,410.0082,673.4194,yolo
386,12.8333,-0.5232,0.7482,2.3269,2.4996,44.0206,430.6418,659.4267,yolo
387,12.8667,-0.4938,0.7281,2.3794,2.5368,43.0497,446.7514,644.9437,yolo
388,12.9000,-0.4631,0.7111,2.4607,2.6029,41.6276,464.7417,629.0959,yolo
389,12.9333,-0.4286,0.6857,2.5056,2.6329,40.8811,480.6969,614.8335,yolo
390,12.9667,-0.3981,0.6678,2.5895,2.7037,39.5572,496.8414,600.1546,yolo
391,13.0000,-0.3704,0.6498,2.6813,2.7837,38.2020,511.3729,585.6847,yolo
392,13.0333,-0.3437,0.6316,2.7688,2.8606,36.9953,524.4189,572.4073,yolo
393,13.0667,-0.3096,0.6047,2.8121,2.8930,36.4253,537.4675,560.2288,yolo
394,13.1000,-0.2804,0.5846,2.8908,2.9626,35.4346,549.6829,548.3304,yolo
395,13.1333,-0.2493,0.5610,2.9440,3.0074,34.7934,561.1390,537.4612,yolo
