frame,time_s,det_cx,det_cy,det_radius_px,det_confidence,det_source,kf_cx,kf_cy,kf_vx,kf_vy,kf_uncertainty
282,9.3667,,,,,none,1280.00,46.45,493.44,-327.27,6.13
283,9.4000,,,,,none,1280.00,35.54,493.44,-327.27,6.65
284,9.4333,,,,,none,1280.00,24.64,493.44,-327.27,7.19
285,9.4667,,,,,none,1280.00,13.73,493.44,-327.27,7.73
286,9.5000,,,,,none,1280.00,2.82,493.44,-327.27,8.28
287,9.5333,,,,,none,1280.00,0.00,493.44,-327.27,8.84
288,9.5667,,,,,none,1280.00,0.00,493.44,-327.27,9.41
289,9.6000,,,,,none,1280.00,0.00,493.44,-327.27,9.99
290,9.6333,,,,,none,1280.00,0.00,493.44,-327.27,10.58
291,9.6667,,,,,none,1280.00,0.00,493.44,-327.27,11.17
292,9.7000,,,,,none,1280.00,0.00,493.44,-327.27,11.77
293,9.7333,,,,,none,1280.00,0.00,0.00,0.00,12.37
294,9.7667,,,,,none,1280.00,0.00,0.00,0.00,12.99
295,9.8000,,,,,none,1280.00,0.00,0.00,0.00,13.61
296,9.8333,,,,,none,1280.00,0.00,0.00,0.00,14.24
297,9.8667,,,,,none,1280.00,0.00,0.00,0.00,14.87
298,9.9000,,,,,none,1280.00,0.00,0.00,0.00,15.51
299,9.9333,,,,,none,1280.00,0.00,0.00,0.00,16.16
300,9.9667,,,,,none,1280.00,0.00,0.00,0.00,16.81
301,10.0000,125.00,100.00,30.00,1.000,hough,143.62,98.39,-1237.37,107.13,2.22
302,10.0333,,,,,none,102.37,101.96,-1237.37,107.13,2.54
303,10.0667,,,,,none,61.12,105.53,-1237.37,107.13,2.88
304,10.1000,,,,,none,19.88,109.10,-1237.37,107.13,3.24
305,10.1333,,,,,none,0.00,112.67,-1237.37,107.13,3.61
306,10.1667,,,,,none,0.00,116.24,-1237.37,107.13,4.00
307,10.2000,,,,,none,0.00,119.81,-1237.37,107.13,4.40
308,10.2333,,,,,none,0.00,123.39,-1237.37,107.13,4.81
309,10.2667,,,,,none,0.00,126.96,-1237.37,107.13,5.24
310,10.3000,,,,,none,0.00,130.53,-1237.37,107.13,5.67
311,10.3333,,,,,none,0.00,134.10,-1237.37,107.13,6.12
312,10.3667,,,,,none,0.00,137.67,-1237.37,107.13,6.57
313,10.4000,,,,,none,0.00,141.24,-1237.37,107.13,7.04
314,10.4333,,,,,none,0.00,144.81,-1237.37,107.13,7.51
315,10.4667,,,,,none,0.00,148.38,-1237.37,107.13,8.00
316,10.5000,,,,,none,0.00,151.95,-1237.37,107.13,8.49
317,10.5333,,,,,none,0.00,155.53,-1237.37,107.13,8.99
